iter	Passed	Remaining
591	10945	7543
592	10975	7533
593	11013	7527
594	11047	7519
595	11079	7510
596	11114	7502
597	11152	7497
598	11186	7489
599	11222	7481
600	11249	7468
601	11290	7464
602	11322	7454
603	11355	7445
604	11390	7436
605	11425	7428
606	11463	7422
607	11491	7409
608	11531	7403
609	11560	7391
610	11593	7381
611	11631	7374
612	11653	7356
613	11672	7337
614	11690	7318
615	11720	7306
616	11759	7299
617	11795	7291
618	11830	7281
619	11867	7273
620	11900	7262
621	11927	7248
622	11962	7238
623	11992	7226
624	12030	7218
625	12072	7212
626	12109	7204
627	12141	7191
628	12175	7181
629	12214	7173
630	12256	7167
631	12297	7160
632	12328	7147
633	12362	7136
634	12395	7124
635	12434	7116
636	12464	7102
637	12500	7092
638	12534	7081
639	12566	7068
640	12598	7055
641	12633	7044
642	12676	7037
643	12714	7028
644	12770	7028
645	12845	7039
646	12908	7042
647	12964	7042
648	13001	7031
649	13031	7016
650	13065	7004
651	13102	6993
652	13139	6982
653	13170	6967
654	13203	6954
655	13236	6940
656	13268	6927
657	13300	6913
658	13341	6903
659	13378	6891
660	13415	6880
661	13451	6868
662	13487	6855
663	13522	6842
664	13559	6830
665	13600	6820
666	13641	6810
667	13679	6798
668	13714	6785
669	13743	6769
670	13772	6753
671	13806	6738
672	13835	6722
673	13866	6706
674	13915	6700
675	13951	6686
676	13992	6675
677	14019	6658
678	14056	6645
679	14087	6629
680	14111	6610
681	14137	6591
682	14159	6571
683	14175	6548
684	14189	6524
685	14202	6500
686	14217	6477
687	14230	6453
688	14245	6430
689	14260	6406
690	14292	6391
691	14332	6379
692	14353	6358
693	14366	6334
694	14380	6310
695	14396	6288
696	14410	6264
697	14426	6241
698	14440	6218
699	14454	6194
700	14470	6171
701	14483	6148
702	14497	6124
703	14509	6100
704	14522	6076
705	14541	6055
706	14553	6031
707	14565	6007
708	14581	5984
709	14604	5965
710	14618	5941
711	14633	5918
712	14645	5895
713	14659	5871
714	14673	5848
715	14686	5825
716	14700	5802
717	14718	5780
718	14734	5758
719	14749	5735
720	14763	5712
721	14777	5690
722	14791	5667
723	14804	5643
724	14822	5622
725	14836	5599
726	14850	5576
727	14863	5553
728	14878	5530
729	14892	5508
730	14905	5485
731	14919	5462
732	14932	5439
733	14946	5416
734	14959	5393
735	14975	5371
736	14989	5348
737	15004	5326
738	15016	5303
739	15032	5281
740	15045	5258
741	15060	5236
742	15074	5214
743	15090	5192
744	15104	5169
