iter	Passed	Remaining
192	4216	17630
193	4268	17732
194	4323	17847
195	4378	17961
196	4439	18096
197	4464	18085
198	4493	18087
199	4523	18094
200	4552	18097
201	4585	18116
202	4615	18119
203	4649	18143
204	4677	18139
205	4703	18128
206	4736	18146
207	4771	18167
208	4804	18182
209	4835	18191
210	4862	18181
211	4896	18200
212	4927	18204
213	4955	18199
214	4978	18178
215	5009	18182
216	5036	18171
217	5065	18170
218	5096	18173
219	5133	18201
220	5164	18204
221	5196	18209
222	5223	18201
223	5250	18188
224	5281	18192
225	5319	18216
226	5349	18218
227	5384	18233
228	5415	18231
229	5445	18230
230	5479	18242
231	5511	18243
232	5543	18247
233	5571	18238
234	5602	18237
235	5643	18269
236	5677	18278
237	5701	18255
238	5731	18250
239	5762	18248
240	5794	18248
241	5825	18247
242	5857	18246
243	5880	18219
244	5893	18161
245	5909	18111
246	5921	18053
247	5933	17992
248	5946	17934
249	5958	17876
250	5979	17844
251	6008	17835
252	6037	17826
253	6071	17831
254	6099	17819
255	6124	17799
256	6142	17757
257	6175	17760
258	6211	17772
259	6246	17778
260	6276	17771
261	6304	17759
262	6334	17752
263	6367	17752
264	6396	17740
265	6431	17747
266	6460	17736
267	6498	17748
268	6531	17749
269	6560	17738
270	6588	17723
271	6615	17706
272	6647	17703
273	6677	17692
274	6709	17689
275	6740	17682
276	6780	17698
277	6813	17694
278	6844	17686
279	6873	17674
280	6900	17656
281	6932	17652
282	6967	17652
283	6993	17631
284	7021	17616
285	7055	17614
286	7083	17598
287	7111	17580
288	7145	17579
289	7174	17564
290	7205	17555
291	7227	17524
292	7263	17525
293	7297	17523
294	7329	17515
295	7360	17506
296	7385	17482
297	7415	17468
298	7447	17459
299	7474	17439
300	7507	17433
301	7534	17413
302	7559	17390
303	7589	17376
304	7622	17369
305	7656	17365
306	7691	17363
307	7719	17343
308	7752	17336
309	7784	17326
310	7818	17321
311	7852	17316
312	7883	17303
313	7918	17299
314	7951	17292
315	7987	17289
316	8021	17282
317	8047	17259
318	8076	17242
319	8107	17227
320	8133	17203
321	8168	17200
322	8198	17184
323	8229	17170
324	8258	17151
325	8299	17158
326	8328	17140
327	8363	17134
328	8394	17121
329	8424	17105
330	8452	17084
331	8484	17072
332	8518	17061
333	8551	17051
334	8586	17044
335	8620	17035
336	8649	17015
337	8683	17006
338	8711	16986
339	8744	16974
340	8781	16971
341	8807	16946
342	8842	16937
343	8873	16921
344	8906	16910
345	8936	16891
346	8969	16879
347	8988	16840
348	9008	16802
349	9026	16762
350	9046	16727
351	9077	16711
352	9115	16707
353	9141	16682
354	9168	16657
355	9198	16639
356	9226	16617
357	9267	16618
358	9331	16661
359	9399	16709
360	9460	16745
361	9495	16734
362	9529	16723
363	9566	16714
364	9602	16704
365	9632	16685
366	9651	16646
367	9668	16604
368	9686	16563
369	9715	16543
370	9743	16520
371	9773	16500
372	9806	16483
373	9854	16494
374	9892	16487
375	9933	16485
376	9963	16464
377	9991	16441
378	10031	16436
379	10069	16429
380	10100	16409
381	10129	16387
382	10160	16367
383	10187	16341
384	10243	16362
385	10280	16353
386	10314	16337
387	10353	16331
388	10390	16319
389	10424	16305
390	10456	16286
391	10486	16264
392	10519	16248
393	10546	16220
394	10558	16171
395	10570	16122
396	10581	16072
397	10594	16025
398	10605	15974
399	10618	15927
400	10630	15879
401	10643	15832
402	10654	15784
403	10668	15738
404	10681	15692
405	10694	15647
